"SequenceFeature.primaryIdentifier","SequenceFeature.featureType","SequenceFeature.secondaryIdentifier","SequenceFeature.symbol","SequenceFeature.description","SequenceFeature.sgdAlias","SequenceFeature.qualifier"
"S000002492","ORF","YDR085C","AFR1","Protein required for pheromone-induced projection (shmoo) formation; regulates septin architecture during mating; has an RVXF motif that mediates targeting of Glc7p to mating projections; interacts with Cdc12p; AFR1 has a paralog, YER158C, that arose from the whole genome duplication","","Verified"
"S000002493","ORF","YDR086C","SSS1","Subunit of the Sec61p translocation complex (Sec61p-Sss1p-Sbh1p); this complex forms a channel for passage of secretory proteins through the endoplasmic reticulum membrane, and of the Ssh1p complex (Ssh1p-Sbh2p-Sss1p); interacts with Ost4p and Wbp1p","translocon subunit SSS1","Verified"
"S000002494","ORF","YDR087C","RRP1","Essential evolutionarily conserved nucleolar protein; necessary for biogenesis of 60S ribosomal subunits and for processing of pre-rRNAs to mature rRNA; associated with several distinct 66S pre-ribosomal particles","","Verified"
"S000002495","ORF","YDR088C","SLU7","RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain","mRNA splicing protein SLU7|SLT17","Verified"
"S000002496","ORF","YDR089W","VTC5","Novel subunit of the vacuolar transporter chaperone complex; vacuolar transmembrane protein that regulates biosynthesis of polyphosphate; deletion reduces and overexpression increases polyP accumulation; SPX domain (Syg1, Pho81, Xpr1)-containing protein involved in phosphate homeostasis; relocalizes from vacuole to cytoplasm upon DNA replication stress","","Verified"
"S000002497","ORF","YDR090C","ILT1","Protein of unknown function; deletion confers sensitivity to cationic compounds; green fluorescent protein (GFP)-fusion protein localizes to the plasma membrane","","Verified"
"S000002498","ORF","YDR091C","RLI1","Essential Fe-S protein; required for ribosome biogenesis, translation initiation/termination; facilitates binding of multifactor complex (MFC) of initiation factors to small ribosomal subunit; Dom34-Hbs1 complex and Rli1p work in dissociating inactive ribosomes, thereby facilitating translation restart; forms complex with Lto1p and Yae1p; dependency on ROS-labile FeS clusters, activity in nuclear ribosomal-subunit export impaired by mild oxidative stress","Fe-S cluster-binding ribosome biosynthesis protein","Verified"
"S000002499","ORF","YDR092W","UBC13","E2 ubiquitin-conjugating enzyme; involved in the error-free DNA postreplication repair pathway; interacts with Mms2p to assemble ubiquitin chains at the Ub Lys-63 residue; DNA damage triggers redistribution from the cytoplasm to the nucleus","E2  ubiquitin-conjugating protein UBC13","Verified"
"S000002500","ORF","YDR093W","DNF2","Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to endocytosis, protein transport, and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF2 has a paralog, DNF1, that arose from the whole genome duplication","aminophospholipid-translocating P4-type ATPase DNF2","Verified"
"S000002501","ORF","YDR094W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF DNF2/YDR093W","","Dubious"
"S000002502","ORF","YDR095C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000002503","ORF","YDR096W","GIS1","Histone demethylase and transcription factor; regulates genes during nutrient limitation; activity modulated by proteasome-mediated proteolysis; has JmjC and JmjN domain in N-terminus that interact, promoting stability and proper transcriptional activity; contains two transactivating domains downstream of Jmj domains and a C-terminal DNA binding domain; relocalizes to the cytosol in response to hypoxia; GIS1 has a paralog, RPH1, that arose from the whole genome duplication","histone demethylase GIS1","Verified"
"S000002504","ORF","YDR097C","MSH6","Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p","mismatch repair ATPase MSH6|PMS3|PMS6","Verified"
"S000002505","ORF","YDR098C","GRX3","Glutathione-dependent oxidoreductase; hydroperoxide and superoxide-radical responsive monothiol glutaredoxin subfamily member with Grx4p and Grx5p; redundantly protects cells from oxidative damage along with GRX4 and GRX5; with Grx4p, promotes the dissociation of Aft1p from iron regulon gene promoters and subsequent nuclear export in iron-replete conditions, regulating iron homeostasis; involved with Grx4p in the deglutathionylation of Sir2p, restoring deacetylase activity after disulfide stress","monothiol glutaredoxin GRX3","Verified"
"S000002506","ORF","YDR099W","BMH2","14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; abundance relative to Bmh1p increases during sporulation","14-3-3 family protein BMH2|SCD3","Verified"
"S000002507","ORF","YDR100W","TVP15","Integral membrane protein; localized to late Golgi vesicles along with the v-SNARE Tlg2p","","Verified"
"S000002508","ORF","YDR101C","ARX1","Nuclear export factor for the ribosomal pre-60S subunit; shuttling factor which directly binds FG rich nucleoporins and facilities translocation through the nuclear pore complex; interacts directly with Alb1p; responsible for Tif6p recycling defects in the absence of Rei1; associated with the ribosomal export complex","putative hydrolase","Verified"
"S000002509","ORF","YDR102C","","Putative protein of unknown function; conserved among S. cerevisiae strains; YDR102C is not an essential gene; homozygous diploid deletion strain exhibits high budding index","","Uncharacterized"
"S000002510","ORF","YDR103W","STE5","Pheromone-responsive MAPK scaffold protein; couples activation of the G-protein-coupled pheromone receptor to MAPK activation; intramolecular interaction of PH and VWA domains blocks activation of assembled signaling cascade components (Ste11p, Ste7p and Fus3p) under basal conditions; Gbeta-gamma (Ste4p-Ste18p)-dependent docking at the plasma membrane and binding of PI(4,5)P2 by the PH domain relieves autoinhibition, resulting in pheromone-dependent pathway activation","HMD3|NUL3","Verified"
"S000002511","ORF","YDR104C","SPO71","Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM, aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains","","Verified"
"S000002512","ORF","YDR105C","TMS1","Vacuolar membrane protein of unknown function; is conserved in mammals; predicted to contain eleven transmembrane helices; interacts with Pdr5p, a protein involved in multidrug resistance","","Verified"
"S000002513","ORF","YDR106W","ARP10","Component of the dynactin complex; localized to the pointed end of the Arp1p filament; may regulate membrane association of the complex","","Verified"
"S000002514","ORF","YDR107C","TMN2","Protein with a role in cellular adhesion and filamentous growth; similar to Tmn3p; member of the evolutionarily conserved Transmembrane Nine family of proteins with nine membrane-spanning segments; TMN2 has a paralog, EMP70, that arose from the whole genome duplication","","Verified"
"S000002515","ORF","YDR108W","TRS85","Component of transport protein particle (TRAPP) complex III; TRAPPIII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating endosome-Golgi traffic and required for membrane expansion during autophagy and the CVT pathway; directs Ypt1p to the PAS; late post-replication meiotic role","GSG1|MUM1","Verified"
"S000002516","ORF","YDR109C","","D-ribulokinase; carbohydrate kinase that specifically converts D-ribulose to D-ribulose 5-phosphate during pentose metabolism; null mutant accumulates D-ribulose and the precursor ribitol; proposed to function as a D-ribulose metabolic repair enzyme; member of the FGGY family of carbohydrate kinases; human homolog, FGGY, is involved in both D-ribulose and ribitol metabolism; human FGGY has been linked to both sporadic amyotrophic lateral sclerosis and bipolar disorder","putative phosphotransferase","Verified"
"S000002517","ORF","YDR110W","FOB1","Nucleolar protein that binds the rDNA replication fork barrier site; required for replication fork blocking, recombinational hotspot activity, condensin recruitment to replication fork barrier (RFB), and rDNA repeat segregation; related to retroviral integrases","HRM1|replication fork barrier binding protein FOB1","Verified"
"S000002518","ORF","YDR111C","ALT2","Catalytically inactive alanine transaminase; expression is repressed in the presence of alanine and repression is mediated by Nrg1p; ALT2 has a paralog, ALT1, that arose from the whole genome duplication","alanine transaminase ALT2","Uncharacterized"
"S000002519","ORF","YDR112W","IRC2","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ALT2/YDR111C; null mutant displays increased levels of spontaneous Rad52p foci","","Dubious"
"S000002520","ORF","YDR113C","PDS1","Securin; inhibits anaphase by binding separin Esp1p; blocks cyclin destruction and mitotic exit, essential for meiotic progression and mitotic cell cycle arrest; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation","securin","Verified"
"S000002521","ORF","YDR114C","","Putative protein of unknown function; deletion mutant exhibits poor growth at elevated pH and calcium","","Uncharacterized"
"S000002522","ORF","YDR115W","MRX14","Putative mitochondrial ribosomal protein of the large subunit; required for respiratory growth and for efficient translation of mitochondrial COX1 and COX3;  conditional mutant has reduced cytochrome c oxidase activity; protein increases in abundance and relocalizes to the plasma membrane upon DNA replication stress; contains and N-terminal mitochondrial targeting sequence; similar to E. coli L34 ribosomal protein","bL34m|putative mitochondrial 54S ribosomal protein","Verified"
"S000002523","ORF","YDR116C","MRPL1","Mitochondrial ribosomal protein of the large subunit","mitochondrial 54S ribosomal protein MRPL1|uL1m","Verified"
"S000002524","ORF","YDR117C","TMA64","Protein of unknown function that associates with ribosomes; has a putative RNA binding domain; in mammals the corresponding protein, eIF2D, has been shown to possess translation initiation factor activity","RBF64","Verified"
